module,module_title,question_id,question,option_a,option_b,option_c,option_d,correct_answer,answer_explanation,skill_signal
2,"AI Myths, Reality, and Responsible Judgment",M02-Q05,What should happen after a learner fails the Module 2 checkpoint?,Mark the module complete anyway,Send the learner back to the whole course from the beginning,Show targeted remediation and suggest the relevant lesson blocks before retry,Hide the answer explanations permanently,C,"Remediation should be specific, supportive, and tied to weak areas.",remediation
2,"AI Myths, Reality, and Responsible Judgment",M02-Q06,Which answer best reflects Jifunze's certificate standard for Module 2?,Completion means time spent on the page,"Completion means demonstrated knowledge, practical output, and reviewable evidence",Completion means watching a video only,Completion means asking AI for a final answer,B,Certificate credibility depends on demonstrated skill and evidence.,certificate_readiness
2,"AI Myths, Reality, and Responsible Judgment",M02-Q07,What should the platform track from this module?,Only whether the learner clicked next,"Weak areas, artifact completion, quiz performance, and suggested next practice",Only the learner's email address,Only how many times AI was used,B,Learner intelligence should help the platform support progress and remediation.,learner_intelligence
2,"AI Myths, Reality, and Responsible Judgment",M02-Q08,Which module output is most aligned with top 10-15% course quality?,A vague reflection with no example,A polished but unverified AI-generated response,"A practical artifact applying myth correction, risk sense, and responsible use, with checks, revision, and explanation",A screenshot of the lesson title,C,A top-market course requires usable outputs that show process and quality control.,portfolio
3,Prompts as Control - How Better Instructions Shape Better AI Results,M03-Q01,"Which behavior best shows strong understanding of prompt intent, constraints, and output control?",Using AI output without review,Using AI only when it gives a perfect answer,"Applying AI support while checking context, limits, and evidence related to prompt intent, constraints, and output control",Avoiding AI completely,C,"The course standard is practical use with human review, especially when applying prompt intent, constraints, and output control.",judgment
3,Prompts as Control - How Better Instructions Shape Better AI Results,M03-Q02,A learner is completing Module 3. What should count as strongest evidence of completion?,Reading every paragraph once,"Saving a reviewable artifact that shows process, checks, and improvement",Opening the lesson page,Copying an AI answer into a document,B,"Top-market completion requires evidence of applied learning, not passive reading.",artifact_quality
3,Prompts as Control - How Better Instructions Shape Better AI Results,M03-Q03,What is the safest way to use an AI coach prompt in this module?,Ask the AI to do the entire assignment,Ask the AI to critique and question the learner's draft while the learner keeps ownership,Ignore all AI feedback,Submit the first AI-generated answer,B,"The learner should use AI for feedback and improvement, not replacement of their own judgment.",responsible_use
3,Prompts as Control - How Better Instructions Shape Better AI Results,M03-Q04,Why should this module include a scenario lab?,It makes the course longer,It replaces the need for assessment,"It helps learners transfer prompt intent, constraints, and output control into realistic work, study, or business contexts",It lets learners skip reflection,C,Scenario labs are a key difference between generic awareness and applied professional training.,transfer
3,Prompts as Control - How Better Instructions Shape Better AI Results,M03-Q05,What should happen after a learner fails the Module 3 checkpoint?,Mark the module complete anyway,Send the learner back to the whole course from the beginning,Show targeted remediation and suggest the relevant lesson blocks before retry,Hide the answer explanations permanently,C,"Remediation should be specific, supportive, and tied to weak areas.",remediation
3,Prompts as Control - How Better Instructions Shape Better AI Results,M03-Q06,Which answer best reflects Jifunze's certificate standard for Module 3?,Completion means time spent on the page,"Completion means demonstrated knowledge, practical output, and reviewable evidence",Completion means watching a video only,Completion means asking AI for a final answer,B,Certificate credibility depends on demonstrated skill and evidence.,certificate_readiness
3,Prompts as Control - How Better Instructions Shape Better AI Results,M03-Q07,What should the platform track from this module?,Only whether the learner clicked next,"Weak areas, artifact completion, quiz performance, and suggested next practice",Only the learner's email address,Only how many times AI was used,B,Learner intelligence should help the platform support progress and remediation.,learner_intelligence
3,Prompts as Control - How Better Instructions Shape Better AI Results,M03-Q08,Which module output is most aligned with top 10-15% course quality?,A vague reflection with no example,A polished but unverified AI-generated response,"A practical artifact applying prompt intent, constraints, and output control, with checks, revision, and explanation",A screenshot of the lesson title,C,A top-market course requires usable outputs that show process and quality control.,portfolio
4,"Prompt Engineering I - Structure, Constraints, and Clear Output Design",M04-Q01,Which behavior best shows strong understanding of structured prompting and acceptance criteria?,Using AI output without review,Using AI only when it gives a perfect answer,"Applying AI support while checking context, limits, and evidence related to structured prompting and acceptance criteria",Avoiding AI completely,C,"The course standard is practical use with human review, especially when applying structured prompting and acceptance criteria.",judgment
4,"Prompt Engineering I - Structure, Constraints, and Clear Output Design",M04-Q02,A learner is completing Module 4. What should count as strongest evidence of completion?,Reading every paragraph once,"Saving a reviewable artifact that shows process, checks, and improvement",Opening the lesson page,Copying an AI answer into a document,B,"Top-market completion requires evidence of applied learning, not passive reading.",artifact_quality
4,"Prompt Engineering I - Structure, Constraints, and Clear Output Design",M04-Q03,What is the safest way to use an AI coach prompt in this module?,Ask the AI to do the entire assignment,Ask the AI to critique and question the learner's draft while the learner keeps ownership,Ignore all AI feedback,Submit the first AI-generated answer,B,"The learner should use AI for feedback and improvement, not replacement of their own judgment.",responsible_use
4,"Prompt Engineering I - Structure, Constraints, and Clear Output Design",M04-Q04,Why should this module include a scenario lab?,It makes the course longer,It replaces the need for assessment,"It helps learners transfer structured prompting and acceptance criteria into realistic work, study, or business contexts",It lets learners skip reflection,C,Scenario labs are a key difference between generic awareness and applied professional training.,transfer
4,"Prompt Engineering I - Structure, Constraints, and Clear Output Design",M04-Q05,What should happen after a learner fails the Module 4 checkpoint?,Mark the module complete anyway,Send the learner back to the whole course from the beginning,Show targeted remediation and suggest the relevant lesson blocks before retry,Hide the answer explanations permanently,C,"Remediation should be specific, supportive, and tied to weak areas.",remediation
4,"Prompt Engineering I - Structure, Constraints, and Clear Output Design",M04-Q06,Which answer best reflects Jifunze's certificate standard for Module 4?,Completion means time spent on the page,"Completion means demonstrated knowledge, practical output, and reviewable evidence",Completion means watching a video only,Completion means asking AI for a final answer,B,Certificate credibility depends on demonstrated skill and evidence.,certificate_readiness
4,"Prompt Engineering I - Structure, Constraints, and Clear Output Design",M04-Q07,What should the platform track from this module?,Only whether the learner clicked next,"Weak areas, artifact completion, quiz performance, and suggested next practice",Only the learner's email address,Only how many times AI was used,B,Learner intelligence should help the platform support progress and remediation.,learner_intelligence
4,"Prompt Engineering I - Structure, Constraints, and Clear Output Design",M04-Q08,Which module output is most aligned with top 10-15% course quality?,A vague reflection with no example,A polished but unverified AI-generated response,"A practical artifact applying structured prompting and acceptance criteria, with checks, revision, and explanation",A screenshot of the lesson title,C,A top-market course requires usable outputs that show process and quality control.,portfolio
5,"Prompt Engineering II - Iteration, Comparison, and Reviewable Prompt Workflows",M05-Q01,"Which behavior best shows strong understanding of iteration, critique, prompt testing, and versioning?",Using AI output without review,Using AI only when it gives a perfect answer,"Applying AI support while checking context, limits, and evidence related to iteration, critique, prompt testing, and versioning",Avoiding AI completely,C,"The course standard is practical use with human review, especially when applying iteration, critique, prompt testing, and versioning.",judgment
5,"Prompt Engineering II - Iteration, Comparison, and Reviewable Prompt Workflows",M05-Q02,A learner is completing Module 5. What should count as strongest evidence of completion?,Reading every paragraph once,"Saving a reviewable artifact that shows process, checks, and improvement",Opening the lesson page,Copying an AI answer into a document,B,"Top-market completion requires evidence of applied learning, not passive reading.",artifact_quality
5,"Prompt Engineering II - Iteration, Comparison, and Reviewable Prompt Workflows",M05-Q03,What is the safest way to use an AI coach prompt in this module?,Ask the AI to do the entire assignment,Ask the AI to critique and question the learner's draft while the learner keeps ownership,Ignore all AI feedback,Submit the first AI-generated answer,B,"The learner should use AI for feedback and improvement, not replacement of their own judgment.",responsible_use
5,"Prompt Engineering II - Iteration, Comparison, and Reviewable Prompt Workflows",M05-Q04,Why should this module include a scenario lab?,It makes the course longer,It replaces the need for assessment,"It helps learners transfer iteration, critique, prompt testing, and versioning into realistic work, study, or business contexts",It lets learners skip reflection,C,Scenario labs are a key difference between generic awareness and applied professional training.,transfer
5,"Prompt Engineering II - Iteration, Comparison, and Reviewable Prompt Workflows",M05-Q05,What should happen after a learner fails the Module 5 checkpoint?,Mark the module complete anyway,Send the learner back to the whole course from the beginning,Show targeted remediation and suggest the relevant lesson blocks before retry,Hide the answer explanations permanently,C,"Remediation should be specific, supportive, and tied to weak areas.",remediation
5,"Prompt Engineering II - Iteration, Comparison, and Reviewable Prompt Workflows",M05-Q06,Which answer best reflects Jifunze's certificate standard for Module 5?,Completion means time spent on the page,"Completion means demonstrated knowledge, practical output, and reviewable evidence",Completion means watching a video only,Completion means asking AI for a final answer,B,Certificate credibility depends on demonstrated skill and evidence.,certificate_readiness
5,"Prompt Engineering II - Iteration, Comparison, and Reviewable Prompt Workflows",M05-Q07,What should the platform track from this module?,Only whether the learner clicked next,"Weak areas, artifact completion, quiz performance, and suggested next practice",Only the learner's email address,Only how many times AI was used,B,Learner intelligence should help the platform support progress and remediation.,learner_intelligence
5,"Prompt Engineering II - Iteration, Comparison, and Reviewable Prompt Workflows",M05-Q08,Which module output is most aligned with top 10-15% course quality?,A vague reflection with no example,A polished but unverified AI-generated response,"A practical artifact applying iteration, critique, prompt testing, and versioning, with checks, revision, and explanation",A screenshot of the lesson title,C,A top-market course requires usable outputs that show process and quality control.,portfolio
6,"Evidence, Verification, and Source-Aware AI Use",M06-Q01,"Which behavior best shows strong understanding of source awareness, verification, and hallucination control?",Using AI output without review,Using AI only when it gives a perfect answer,"Applying AI support while checking context, limits, and evidence related to source awareness, verification, and hallucination control",Avoiding AI completely,C,"The course standard is practical use with human review, especially when applying source awareness, verification, and hallucination control.",judgment
6,"Evidence, Verification, and Source-Aware AI Use",M06-Q02,A learner is completing Module 6. What should count as strongest evidence of completion?,Reading every paragraph once,"Saving a reviewable artifact that shows process, checks, and improvement",Opening the lesson page,Copying an AI answer into a document,B,"Top-market completion requires evidence of applied learning, not passive reading.",artifact_quality
6,"Evidence, Verification, and Source-Aware AI Use",M06-Q03,What is the safest way to use an AI coach prompt in this module?,Ask the AI to do the entire assignment,Ask the AI to critique and question the learner's draft while the learner keeps ownership,Ignore all AI feedback,Submit the first AI-generated answer,B,"The learner should use AI for feedback and improvement, not replacement of their own judgment.",responsible_use
6,"Evidence, Verification, and Source-Aware AI Use",M06-Q04,Why should this module include a scenario lab?,It makes the course longer,It replaces the need for assessment,"It helps learners transfer source awareness, verification, and hallucination control into realistic work, study, or business contexts",It lets learners skip reflection,C,Scenario labs are a key difference between generic awareness and applied professional training.,transfer
6,"Evidence, Verification, and Source-Aware AI Use",M06-Q05,What should happen after a learner fails the Module 6 checkpoint?,Mark the module complete anyway,Send the learner back to the whole course from the beginning,Show targeted remediation and suggest the relevant lesson blocks before retry,Hide the answer explanations permanently,C,"Remediation should be specific, supportive, and tied to weak areas.",remediation
6,"Evidence, Verification, and Source-Aware AI Use",M06-Q06,Which answer best reflects Jifunze's certificate standard for Module 6?,Completion means time spent on the page,"Completion means demonstrated knowledge, practical output, and reviewable evidence",Completion means watching a video only,Completion means asking AI for a final answer,B,Certificate credibility depends on demonstrated skill and evidence.,certificate_readiness
6,"Evidence, Verification, and Source-Aware AI Use",M06-Q07,What should the platform track from this module?,Only whether the learner clicked next,"Weak areas, artifact completion, quiz performance, and suggested next practice",Only the learner's email address,Only how many times AI was used,B,Learner intelligence should help the platform support progress and remediation.,learner_intelligence
6,"Evidence, Verification, and Source-Aware AI Use",M06-Q08,Which module output is most aligned with top 10-15% course quality?,A vague reflection with no example,A polished but unverified AI-generated response,"A practical artifact applying source awareness, verification, and hallucination control, with checks, revision, and explanation",A screenshot of the lesson title,C,A top-market course requires usable outputs that show process and quality control.,portfolio
7,"AI for Writing, Communication, and Audience Fit",M07-Q01,"Which behavior best shows strong understanding of writing quality, tone, audience, and revision?",Using AI output without review,Using AI only when it gives a perfect answer,"Applying AI support while checking context, limits, and evidence related to writing quality, tone, audience, and revision",Avoiding AI completely,C,"The course standard is practical use with human review, especially when applying writing quality, tone, audience, and revision.",judgment
7,"AI for Writing, Communication, and Audience Fit",M07-Q02,A learner is completing Module 7. What should count as strongest evidence of completion?,Reading every paragraph once,"Saving a reviewable artifact that shows process, checks, and improvement",Opening the lesson page,Copying an AI answer into a document,B,"Top-market completion requires evidence of applied learning, not passive reading.",artifact_quality
7,"AI for Writing, Communication, and Audience Fit",M07-Q03,What is the safest way to use an AI coach prompt in this module?,Ask the AI to do the entire assignment,Ask the AI to critique and question the learner's draft while the learner keeps ownership,Ignore all AI feedback,Submit the first AI-generated answer,B,"The learner should use AI for feedback and improvement, not replacement of their own judgment.",responsible_use
7,"AI for Writing, Communication, and Audience Fit",M07-Q04,Why should this module include a scenario lab?,It makes the course longer,It replaces the need for assessment,"It helps learners transfer writing quality, tone, audience, and revision into realistic work, study, or business contexts",It lets learners skip reflection,C,Scenario labs are a key difference between generic awareness and applied professional training.,transfer
7,"AI for Writing, Communication, and Audience Fit",M07-Q05,What should happen after a learner fails the Module 7 checkpoint?,Mark the module complete anyway,Send the learner back to the whole course from the beginning,Show targeted remediation and suggest the relevant lesson blocks before retry,Hide the answer explanations permanently,C,"Remediation should be specific, supportive, and tied to weak areas.",remediation
7,"AI for Writing, Communication, and Audience Fit",M07-Q06,Which answer best reflects Jifunze's certificate standard for Module 7?,Completion means time spent on the page,"Completion means demonstrated knowledge, practical output, and reviewable evidence",Completion means watching a video only,Completion means asking AI for a final answer,B,Certificate credibility depends on demonstrated skill and evidence.,certificate_readiness
7,"AI for Writing, Communication, and Audience Fit",M07-Q07,What should the platform track from this module?,Only whether the learner clicked next,"Weak areas, artifact completion, quiz performance, and suggested next practice",Only the learner's email address,Only how many times AI was used,B,Learner intelligence should help the platform support progress and remediation.,learner_intelligence
7,"AI for Writing, Communication, and Audience Fit",M07-Q08,Which module output is most aligned with top 10-15% course quality?,A vague reflection with no example,A polished but unverified AI-generated response,"A practical artifact applying writing quality, tone, audience, and revision, with checks, revision, and explanation",A screenshot of the lesson title,C,A top-market course requires usable outputs that show process and quality control.,portfolio
8,"AI for Learning, Study, and Understanding",M08-Q01,"Which behavior best shows strong understanding of learning support, remediation, and retrieval practice?",Using AI output without review,Using AI only when it gives a perfect answer,"Applying AI support while checking context, limits, and evidence related to learning support, remediation, and retrieval practice",Avoiding AI completely,C,"The course standard is practical use with human review, especially when applying learning support, remediation, and retrieval practice.",judgment
8,"AI for Learning, Study, and Understanding",M08-Q02,A learner is completing Module 8. What should count as strongest evidence of completion?,Reading every paragraph once,"Saving a reviewable artifact that shows process, checks, and improvement",Opening the lesson page,Copying an AI answer into a document,B,"Top-market completion requires evidence of applied learning, not passive reading.",artifact_quality
8,"AI for Learning, Study, and Understanding",M08-Q03,What is the safest way to use an AI coach prompt in this module?,Ask the AI to do the entire assignment,Ask the AI to critique and question the learner's draft while the learner keeps ownership,Ignore all AI feedback,Submit the first AI-generated answer,B,"The learner should use AI for feedback and improvement, not replacement of their own judgment.",responsible_use
8,"AI for Learning, Study, and Understanding",M08-Q04,Why should this module include a scenario lab?,It makes the course longer,It replaces the need for assessment,"It helps learners transfer learning support, remediation, and retrieval practice into realistic work, study, or business contexts",It lets learners skip reflection,C,Scenario labs are a key difference between generic awareness and applied professional training.,transfer
8,"AI for Learning, Study, and Understanding",M08-Q05,What should happen after a learner fails the Module 8 checkpoint?,Mark the module complete anyway,Send the learner back to the whole course from the beginning,Show targeted remediation and suggest the relevant lesson blocks before retry,Hide the answer explanations permanently,C,"Remediation should be specific, supportive, and tied to weak areas.",remediation
8,"AI for Learning, Study, and Understanding",M08-Q06,Which answer best reflects Jifunze's certificate standard for Module 8?,Completion means time spent on the page,"Completion means demonstrated knowledge, practical output, and reviewable evidence",Completion means watching a video only,Completion means asking AI for a final answer,B,Certificate credibility depends on demonstrated skill and evidence.,certificate_readiness
8,"AI for Learning, Study, and Understanding",M08-Q07,What should the platform track from this module?,Only whether the learner clicked next,"Weak areas, artifact completion, quiz performance, and suggested next practice",Only the learner's email address,Only how many times AI was used,B,Learner intelligence should help the platform support progress and remediation.,learner_intelligence
8,"AI for Learning, Study, and Understanding",M08-Q08,Which module output is most aligned with top 10-15% course quality?,A vague reflection with no example,A polished but unverified AI-generated response,"A practical artifact applying learning support, remediation, and retrieval practice, with checks, revision, and explanation",A screenshot of the lesson title,C,A top-market course requires usable outputs that show process and quality control.,portfolio
9,"Responsible AI Use, Human Accountability, and Practical Guardrails",M09-Q01,"Which behavior best shows strong understanding of accountability, boundaries, and risk review?",Using AI output without review,Using AI only when it gives a perfect answer,"Applying AI support while checking context, limits, and evidence related to accountability, boundaries, and risk review",Avoiding AI completely,C,"The course standard is practical use with human review, especially when applying accountability, boundaries, and risk review.",judgment
9,"Responsible AI Use, Human Accountability, and Practical Guardrails",M09-Q02,A learner is completing Module 9. What should count as strongest evidence of completion?,Reading every paragraph once,"Saving a reviewable artifact that shows process, checks, and improvement",Opening the lesson page,Copying an AI answer into a document,B,"Top-market completion requires evidence of applied learning, not passive reading.",artifact_quality
9,"Responsible AI Use, Human Accountability, and Practical Guardrails",M09-Q03,What is the safest way to use an AI coach prompt in this module?,Ask the AI to do the entire assignment,Ask the AI to critique and question the learner's draft while the learner keeps ownership,Ignore all AI feedback,Submit the first AI-generated answer,B,"The learner should use AI for feedback and improvement, not replacement of their own judgment.",responsible_use
9,"Responsible AI Use, Human Accountability, and Practical Guardrails",M09-Q04,Why should this module include a scenario lab?,It makes the course longer,It replaces the need for assessment,"It helps learners transfer accountability, boundaries, and risk review into realistic work, study, or business contexts",It lets learners skip reflection,C,Scenario labs are a key difference between generic awareness and applied professional training.,transfer
9,"Responsible AI Use, Human Accountability, and Practical Guardrails",M09-Q05,What should happen after a learner fails the Module 9 checkpoint?,Mark the module complete anyway,Send the learner back to the whole course from the beginning,Show targeted remediation and suggest the relevant lesson blocks before retry,Hide the answer explanations permanently,C,"Remediation should be specific, supportive, and tied to weak areas.",remediation
9,"Responsible AI Use, Human Accountability, and Practical Guardrails",M09-Q06,Which answer best reflects Jifunze's certificate standard for Module 9?,Completion means time spent on the page,"Completion means demonstrated knowledge, practical output, and reviewable evidence",Completion means watching a video only,Completion means asking AI for a final answer,B,Certificate credibility depends on demonstrated skill and evidence.,certificate_readiness
9,"Responsible AI Use, Human Accountability, and Practical Guardrails",M09-Q07,What should the platform track from this module?,Only whether the learner clicked next,"Weak areas, artifact completion, quiz performance, and suggested next practice",Only the learner's email address,Only how many times AI was used,B,Learner intelligence should help the platform support progress and remediation.,learner_intelligence
9,"Responsible AI Use, Human Accountability, and Practical Guardrails",M09-Q08,Which module output is most aligned with top 10-15% course quality?,A vague reflection with no example,A polished but unverified AI-generated response,"A practical artifact applying accountability, boundaries, and risk review, with checks, revision, and explanation",A screenshot of the lesson title,C,A top-market course requires usable outputs that show process and quality control.,portfolio
10,"AI for Research, Analysis, and Synthesis",M10-Q01,"Which behavior best shows strong understanding of research workflows, synthesis, and evidence mapping?",Using AI output without review,Using AI only when it gives a perfect answer,"Applying AI support while checking context, limits, and evidence related to research workflows, synthesis, and evidence mapping",Avoiding AI completely,C,"The course standard is practical use with human review, especially when applying research workflows, synthesis, and evidence mapping.",judgment
10,"AI for Research, Analysis, and Synthesis",M10-Q02,A learner is completing Module 10. What should count as strongest evidence of completion?,Reading every paragraph once,"Saving a reviewable artifact that shows process, checks, and improvement",Opening the lesson page,Copying an AI answer into a document,B,"Top-market completion requires evidence of applied learning, not passive reading.",artifact_quality
10,"AI for Research, Analysis, and Synthesis",M10-Q03,What is the safest way to use an AI coach prompt in this module?,Ask the AI to do the entire assignment,Ask the AI to critique and question the learner's draft while the learner keeps ownership,Ignore all AI feedback,Submit the first AI-generated answer,B,"The learner should use AI for feedback and improvement, not replacement of their own judgment.",responsible_use
10,"AI for Research, Analysis, and Synthesis",M10-Q04,Why should this module include a scenario lab?,It makes the course longer,It replaces the need for assessment,"It helps learners transfer research workflows, synthesis, and evidence mapping into realistic work, study, or business contexts",It lets learners skip reflection,C,Scenario labs are a key difference between generic awareness and applied professional training.,transfer
10,"AI for Research, Analysis, and Synthesis",M10-Q05,What should happen after a learner fails the Module 10 checkpoint?,Mark the module complete anyway,Send the learner back to the whole course from the beginning,Show targeted remediation and suggest the relevant lesson blocks before retry,Hide the answer explanations permanently,C,"Remediation should be specific, supportive, and tied to weak areas.",remediation
10,"AI for Research, Analysis, and Synthesis",M10-Q06,Which answer best reflects Jifunze's certificate standard for Module 10?,Completion means time spent on the page,"Completion means demonstrated knowledge, practical output, and reviewable evidence",Completion means watching a video only,Completion means asking AI for a final answer,B,Certificate credibility depends on demonstrated skill and evidence.,certificate_readiness
10,"AI for Research, Analysis, and Synthesis",M10-Q07,What should the platform track from this module?,Only whether the learner clicked next,"Weak areas, artifact completion, quiz performance, and suggested next practice",Only the learner's email address,Only how many times AI was used,B,Learner intelligence should help the platform support progress and remediation.,learner_intelligence
10,"AI for Research, Analysis, and Synthesis",M10-Q08,Which module output is most aligned with top 10-15% course quality?,A vague reflection with no example,A polished but unverified AI-generated response,"A practical artifact applying research workflows, synthesis, and evidence mapping, with checks, revision, and explanation",A screenshot of the lesson title,C,A top-market course requires usable outputs that show process and quality control.,portfolio
11,"AI for Workflows, Planning, and Task Design",M11-Q01,"Which behavior best shows strong understanding of workflow redesign, SOPs, and task delegation?",Using AI output without review,Using AI only when it gives a perfect answer,"Applying AI support while checking context, limits, and evidence related to workflow redesign, SOPs, and task delegation",Avoiding AI completely,C,"The course standard is practical use with human review, especially when applying workflow redesign, SOPs, and task delegation.",judgment
11,"AI for Workflows, Planning, and Task Design",M11-Q02,A learner is completing Module 11. What should count as strongest evidence of completion?,Reading every paragraph once,"Saving a reviewable artifact that shows process, checks, and improvement",Opening the lesson page,Copying an AI answer into a document,B,"Top-market completion requires evidence of applied learning, not passive reading.",artifact_quality
11,"AI for Workflows, Planning, and Task Design",M11-Q03,What is the safest way to use an AI coach prompt in this module?,Ask the AI to do the entire assignment,Ask the AI to critique and question the learner's draft while the learner keeps ownership,Ignore all AI feedback,Submit the first AI-generated answer,B,"The learner should use AI for feedback and improvement, not replacement of their own judgment.",responsible_use
11,"AI for Workflows, Planning, and Task Design",M11-Q04,Why should this module include a scenario lab?,It makes the course longer,It replaces the need for assessment,"It helps learners transfer workflow redesign, SOPs, and task delegation into realistic work, study, or business contexts",It lets learners skip reflection,C,Scenario labs are a key difference between generic awareness and applied professional training.,transfer
11,"AI for Workflows, Planning, and Task Design",M11-Q05,What should happen after a learner fails the Module 11 checkpoint?,Mark the module complete anyway,Send the learner back to the whole course from the beginning,Show targeted remediation and suggest the relevant lesson blocks before retry,Hide the answer explanations permanently,C,"Remediation should be specific, supportive, and tied to weak areas.",remediation
11,"AI for Workflows, Planning, and Task Design",M11-Q06,Which answer best reflects Jifunze's certificate standard for Module 11?,Completion means time spent on the page,"Completion means demonstrated knowledge, practical output, and reviewable evidence",Completion means watching a video only,Completion means asking AI for a final answer,B,Certificate credibility depends on demonstrated skill and evidence.,certificate_readiness
11,"AI for Workflows, Planning, and Task Design",M11-Q07,What should the platform track from this module?,Only whether the learner clicked next,"Weak areas, artifact completion, quiz performance, and suggested next practice",Only the learner's email address,Only how many times AI was used,B,Learner intelligence should help the platform support progress and remediation.,learner_intelligence
11,"AI for Workflows, Planning, and Task Design",M11-Q08,Which module output is most aligned with top 10-15% course quality?,A vague reflection with no example,A polished but unverified AI-generated response,"A practical artifact applying workflow redesign, SOPs, and task delegation, with checks, revision, and explanation",A screenshot of the lesson title,C,A top-market course requires usable outputs that show process and quality control.,portfolio
12,AI for Decision Support and Critical Thinking,M12-Q01,"Which behavior best shows strong understanding of decision memos, assumptions, and tradeoff analysis?",Using AI output without review,Using AI only when it gives a perfect answer,"Applying AI support while checking context, limits, and evidence related to decision memos, assumptions, and tradeoff analysis",Avoiding AI completely,C,"The course standard is practical use with human review, especially when applying decision memos, assumptions, and tradeoff analysis.",judgment
12,AI for Decision Support and Critical Thinking,M12-Q02,A learner is completing Module 12. What should count as strongest evidence of completion?,Reading every paragraph once,"Saving a reviewable artifact that shows process, checks, and improvement",Opening the lesson page,Copying an AI answer into a document,B,"Top-market completion requires evidence of applied learning, not passive reading.",artifact_quality
12,AI for Decision Support and Critical Thinking,M12-Q03,What is the safest way to use an AI coach prompt in this module?,Ask the AI to do the entire assignment,Ask the AI to critique and question the learner's draft while the learner keeps ownership,Ignore all AI feedback,Submit the first AI-generated answer,B,"The learner should use AI for feedback and improvement, not replacement of their own judgment.",responsible_use
